# q,<w**2.0>/wp(0)**2.0
9.899999999999999911e-01,6.857401261344990839e-01
1.000000000000000000e+00,7.035675944233994450e-01
1.010000000000000009e+00,7.217482106538645192e-01
1.020000000000000018e+00,7.402879845404547465e-01
1.030000000000000027e+00,7.591930059509143236e-01
1.040000000000000036e+00,7.784694748040218437e-01
1.050000000000000044e+00,7.981236483694519324e-01
1.060000000000000053e+00,8.181618945413198229e-01
1.070000000000000062e+00,8.385906630253004979e-01
1.080000000000000071e+00,8.594164897889381427e-01
1.090000000000000080e+00,8.806460019800206318e-01
1.100000000000000089e+00,9.022859040160942090e-01
1.110000000000000098e+00,9.243430177530177483e-01
1.120000000000000107e+00,9.468242179844945650e-01
1.130000000000000115e+00,9.697364949653597410e-01
1.140000000000000124e+00,9.930869203964803882e-01
1.150000000000000133e+00,1.016882654741307235e+00
1.160000000000000142e+00,1.041130949201903855e+00
1.169999999999999929e+00,1.065839133038063435e+00
1.179999999999999938e+00,1.091014657733147653e+00
1.189999999999999947e+00,1.116665022261046580e+00
1.199999999999999956e+00,1.142797847477192708e+00
1.209999999999999964e+00,1.169420834084047955e+00
1.219999999999999973e+00,1.196541773533440489e+00
1.229999999999999982e+00,1.224168547133377416e+00
1.239999999999999991e+00,1.252309126531675698e+00
1.250000000000000000e+00,1.280971561706645945e+00
1.260000000000000009e+00,1.310164017832055050e+00
1.270000000000000018e+00,1.339894752157597013e+00
1.280000000000000027e+00,1.370172072618835335e+00
1.290000000000000036e+00,1.401004417048231643e+00
1.300000000000000044e+00,1.432400301574039636e+00
1.310000000000000053e+00,1.464368332654161442e+00
1.320000000000000062e+00,1.496917192337923863e+00
1.330000000000000071e+00,1.530055698345877735e+00
1.340000000000000080e+00,1.563792699166514977e+00
1.350000000000000089e+00,1.598137194699651653e+00
1.360000000000000098e+00,1.633098213062116777e+00
1.370000000000000107e+00,1.668684920246972458e+00
1.380000000000000115e+00,1.704906557110253296e+00
1.390000000000000124e+00,1.741772454514542989e+00
1.400000000000000133e+00,1.779292015709174946e+00
1.410000000000000142e+00,1.817474787705234185e+00
1.419999999999999929e+00,1.856330335370138807e+00
1.429999999999999938e+00,1.895868386599774968e+00
1.439999999999999947e+00,1.936098684535354719e+00
1.449999999999999956e+00,1.977031117660545956e+00
1.459999999999999964e+00,2.018675645445115574e+00
1.469999999999999973e+00,2.061042315869861419e+00
1.479999999999999982e+00,2.104141266051065440e+00
1.489999999999999991e+00,2.147982721315962795e+00
1.500000000000000000e+00,2.192576995330392631e+00
1.510000000000000009e+00,2.237934466949575096e+00
1.520000000000000018e+00,2.284065669712959767e+00
1.530000000000000027e+00,2.330981134452250636e+00
1.540000000000000036e+00,2.378691546468094220e+00
1.550000000000000044e+00,2.427207655355479776e+00
1.560000000000000053e+00,2.476540320997900224e+00
1.570000000000000062e+00,2.526700390824272002e+00
1.580000000000000071e+00,2.577698944716526608e+00
1.590000000000000080e+00,2.629547049401557590e+00
1.600000000000000089e+00,2.682255879528192555e+00
1.610000000000000098e+00,2.735836666868853850e+00
1.620000000000000107e+00,2.790300807319388898e+00
1.630000000000000115e+00,2.845659670404373731e+00
1.640000000000000124e+00,2.901924818935883277e+00
1.650000000000000133e+00,2.959107783760489330e+00
1.660000000000000142e+00,3.017220261846191409e+00
1.670000000000000151e+00,3.076274002228140514e+00
1.679999999999999938e+00,3.136280833548060532e+00
1.689999999999999947e+00,3.197252663050051069e+00
1.699999999999999956e+00,3.259201476406224263e+00
1.709999999999999964e+00,3.322139303247215736e+00
1.719999999999999973e+00,3.386078349091568462e+00
1.729999999999999982e+00,3.451030796879649198e+00
1.739999999999999991e+00,3.517008902133715420e+00
1.750000000000000000e+00,3.584025063823861768e+00
1.760000000000000009e+00,3.652091757240038650e+00
1.770000000000000018e+00,3.721221421200964219e+00
1.780000000000000027e+00,3.791426675039163197e+00
1.790000000000000036e+00,3.862720172668240970e+00
1.800000000000000044e+00,3.935114638797497566e+00
1.810000000000000053e+00,4.008622866814929075e+00
