# q,<w**1.0>/wp(0)**1.0
3.310000000000000053e+00,1.403074962354602384e+00
3.319999999999999840e+00,1.411548115097914335e+00
3.330000000000000071e+00,1.420047042043960817e+00
3.339999999999999858e+00,1.428571715091853322e+00
3.349999999999999645e+00,1.437122148980889635e+00
3.359999999999999876e+00,1.445698357908169474e+00
3.369999999999999662e+00,1.454300313611002204e+00
3.379999999999999893e+00,1.462928030080240749e+00
3.389999999999999680e+00,1.471581507513388676e+00
3.399999999999999911e+00,1.480260760458363745e+00
3.409999999999999698e+00,1.488965759314760273e+00
3.419999999999999929e+00,1.497696518611138394e+00
3.429999999999999716e+00,1.506453052939927817e+00
3.439999999999999947e+00,1.515235332112135236e+00
3.449999999999999734e+00,1.524043370539146514e+00
3.459999999999999964e+00,1.532877183034534685e+00
3.469999999999999751e+00,1.541736738620276270e+00
3.479999999999999982e+00,1.550622051886983543e+00
3.489999999999999769e+00,1.559533137713257966e+00
3.500000000000000000e+00,1.568469964513951487e+00
3.509999999999999787e+00,1.577432562556793538e+00
3.520000000000000018e+00,1.586420899851240351e+00
3.529999999999999805e+00,1.595434991078000353e+00
3.540000000000000036e+00,1.604474851436577199e+00
3.549999999999999822e+00,1.613540448120244664e+00
3.560000000000000053e+00,1.622631812054055933e+00
3.569999999999999840e+00,1.631748910285967247e+00
3.580000000000000071e+00,1.640891774092775535e+00
3.589999999999999858e+00,1.650060369766013668e+00
3.599999999999999645e+00,1.659254728900722009e+00
3.609999999999999876e+00,1.668474817571259372e+00
3.619999999999999662e+00,1.677720667639419405e+00
3.629999999999999893e+00,1.686992244705364463e+00
3.639999999999999680e+00,1.696289580869819069e+00
3.649999999999999911e+00,1.705612641410011454e+00
3.659999999999999698e+00,1.714961458743330391e+00
3.669999999999999929e+00,1.724335997615163985e+00
3.679999999999999716e+00,1.733736290884049458e+00
3.689999999999999947e+00,1.743162320192323200e+00
3.699999999999999734e+00,1.752614066770119106e+00
3.709999999999999964e+00,1.762091563867308253e+00
3.719999999999999751e+00,1.771594775327123061e+00
3.729999999999999982e+00,1.781123734704925798e+00
3.739999999999999769e+00,1.790678423213834192e+00
3.750000000000000000e+00,1.800258821401762965e+00
3.759999999999999787e+00,1.809864963615091860e+00
3.770000000000000018e+00,1.819496830361401196e+00
3.779999999999999805e+00,1.829154402293870829e+00
3.790000000000000036e+00,1.838837714086321240e+00
3.799999999999999822e+00,1.848546746036465516e+00
3.810000000000000053e+00,1.858281496754315310e+00
3.819999999999999840e+00,1.868041946178892854e+00
3.830000000000000071e+00,1.877828129857021855e+00
3.839999999999999858e+00,1.887640027794330821e+00
3.849999999999999645e+00,1.897477638416408707e+00
3.859999999999999876e+00,1.907340941253962141e+00
3.869999999999999662e+00,1.917229972721600673e+00
3.879999999999999893e+00,1.927144712283581196e+00
3.889999999999999680e+00,1.937085158531865803e+00
3.899999999999999911e+00,1.947051309876278058e+00
3.909999999999999698e+00,1.957043164826462345e+00
3.919999999999999929e+00,1.967060721898374220e+00
3.929999999999999716e+00,1.977103959924590981e+00
3.939999999999999947e+00,1.987172916573389791e+00
3.949999999999999734e+00,1.997267570801574577e+00
3.959999999999999964e+00,2.007387921044631263e+00
3.969999999999999751e+00,2.017533965831306730e+00
3.979999999999999982e+00,2.027705703779632884e+00
3.989999999999999769e+00,2.037903133285881907e+00
4.000000000000000000e+00,2.048126252842755068e+00
