# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
3.449899799599198680e-01,1.002844674624459254e+00,-6.802537638617744617e-03
3.489779559118236785e-01,1.002953206376737683e+00,-6.968798309017737620e-03
3.529659318637274890e-01,1.003064974232582340e+00,-7.137242877688837646e-03
3.569539078156312994e-01,1.003180048268821345e+00,-7.307873977595931610e-03
3.609418837675351099e-01,1.003298499466600990e+00,-7.480693907318368939e-03
3.649298597194389204e-01,1.003420399697702026e+00,-7.655704619401091336e-03
3.689178356713427309e-01,1.003545821743676125e+00,-7.832907709637954366e-03
3.729058116232465414e-01,1.003674839285330744e+00,-8.012304405373829597e-03
3.768937875751503519e-01,1.003807526909155312e+00,-8.193895554221803518e-03
3.808817635270541624e-01,1.003943960114791700e+00,-8.377681612787386475e-03
3.848697394789579729e-01,1.004084215310469874e+00,-8.563662634983584473e-03
3.888577154308617834e-01,1.004228369824055278e+00,-8.751838260635061775e-03
3.928456913827655939e-01,1.004376501896643514e+00,-8.942207703585131756e-03
3.968336673346693488e-01,1.004528690692664261e+00,-9.134769740186770431e-03
4.008216432865731593e-01,1.004685016296267275e+00,-9.329522697321150290e-03
4.048096192384769698e-01,1.004845559719370618e+00,-9.526464440715495460e-03
4.087975951903807803e-01,1.005010402901962641e+00,-9.725592362976549776e-03
4.127855711422845908e-01,1.005179628712380202e+00,-9.926903371432330148e-03
4.167735470941884013e-01,1.005353320954112339e+00,-1.013039387632866037e-02
4.207615230460922118e-01,1.005531564364112063e+00,-1.033605977845786228e-02
4.247494989979960223e-01,1.005714444619985271e+00,-1.054389645725842088e-02
4.287374749498998328e-01,1.005902048335769461e+00,-1.075389875809511751e-02
4.327254509018036432e-01,1.006094463069468814e+00,-1.096606098040809121e-02
4.367134268537074537e-01,1.006291777326533410e+00,-1.118037686521406587e-02
4.407014028056112642e-01,1.006494080553827830e+00,-1.139683958228227163e-02
4.446893787575150747e-01,1.006701463151797427e+00,-1.161544171822253939e-02
4.486773547094188852e-01,1.006914016471000428e+00,-1.183617526351609349e-02
4.526653306613226957e-01,1.007131832812104832e+00,-1.205903159980354668e-02
4.566533066132265062e-01,1.007355005434177775e+00,-1.228400148761521309e-02
4.606412825651303167e-01,1.007583628551229848e+00,-1.251107505323269600e-02
4.646292585170341272e-01,1.007817797336593602e+00,-1.274024177604991988e-02
4.686172344689379377e-01,1.008057607923956045e+00,-1.297149047578750707e-02
4.726052104208417481e-01,1.008303157407553385e+00,-1.320480929929073767e-02
4.765931863727455586e-01,1.008554543845859186e+00,-1.344018570791464563e-02
4.805811623246493136e-01,1.008811866262013801e+00,-1.367760646427531972e-02
4.845691382765531241e-01,1.009075224643611435e+00,-1.391705761920694270e-02
4.885571142284569346e-01,1.009344719946335456e+00,-1.415852449875105480e-02
4.925450901803607451e-01,1.009620454094994235e+00,-1.440199169101914929e-02
4.965330661322645556e-01,1.009902529979802566e+00,-1.464744303263579989e-02
5.005210420841683661e-01,1.010191051464067513e+00,-1.489486159606346130e-02
5.045090180360721765e-01,1.010486123378798506e+00,-1.514422967581865315e-02
5.084969939879759870e-01,1.010787851526404157e+00,-1.539552877543962431e-02
5.124849699398797975e-01,1.011096342682657356e+00,-1.564873959421260799e-02
5.164729458917836080e-01,1.011411704589082028e+00,-1.590384201326475178e-02
5.204609218436874185e-01,1.011734045962692674e+00,-1.616081508287668667e-02
5.244488977955912290e-01,1.012063476490577152e+00,-1.641963700869022644e-02
5.284368737474950395e-01,1.012400106828852397e+00,-1.668028513816098915e-02
5.324248496993988500e-01,1.012744048605536795e+00,-1.694273594740396127e-02
5.364128256513026605e-01,1.013095414414994178e+00,-1.720696502738836009e-02
5.404008016032064710e-01,1.013454317823077488e+00,-1.747294707088566101e-02
5.443887775551102814e-01,1.013820873360102848e+00,-1.774065585865382266e-02
5.483767535070140919e-01,1.014195196524236176e+00,-1.801006424617853513e-02
5.523647294589179024e-01,1.014577403775040576e+00,-1.828114415002618509e-02
5.563527054108217129e-01,1.014967612537575947e+00,-1.855386653482160586e-02
5.603406813627255234e-01,1.015365941194372512e+00,-1.882820139932887132e-02
5.643286573146293339e-01,1.015772509087236486e+00,-1.910411776350964819e-02
5.683166332665331444e-01,1.016187436513411146e+00,-1.938158365498975425e-02
5.723046092184369549e-01,1.016610844722074747e+00,-1.966056609583895567e-02
5.762925851703407654e-01,1.017042855912365873e+00,-1.994103108935279048e-02
5.802805611222445759e-01,1.017483593229342453e+00,-2.022294360690302800e-02
5.842685370741483863e-01,1.017933180761136258e+00,-2.050626757483712745e-02
5.882565130260521968e-01,1.018391743534277527e+00,-2.079096586155047138e-02
5.922444889779560073e-01,1.018859407510059434e+00,-2.107700026452630215e-02
