# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
7.916432865731463098e-01,1.244548139547443810e+00,-1.867752917565457943e-02
7.956312625250501203e-01,1.248478909883398602e+00,-1.860713873003791430e-02
7.996192384769539307e-01,1.252472936869011289e+00,-1.852540488204501914e-02
8.036072144288577412e-01,1.256531632702039714e+00,-1.843169323653899919e-02
8.075951903807615517e-01,1.260656468975922539e+00,-1.832531379908973815e-02
8.115831663326653622e-01,1.264848981013664719e+00,-1.820551312271641645e-02
8.155711422845691727e-01,1.269110772504448148e+00,-1.807146495558584198e-02
8.195591182364729832e-01,1.273443520401335016e+00,-1.792225904018207583e-02
8.235470941883767937e-01,1.277848979994054446e+00,-1.775688762078754188e-02
8.275350701402806042e-01,1.282328990000688451e+00,-1.757422909520548610e-02
8.315230460921844147e-01,1.286885477409220657e+00,-1.737302809034277709e-02
8.355110220440882252e-01,1.291520461623651750e+00,-1.715187104003599791e-02
8.394989979959920356e-01,1.296236057187555968e+00,-1.690915608551913502e-02
8.434869739478958461e-01,1.301034473904831623e+00,-1.664305579332203341e-02
8.474749498997996566e-01,1.305918003063939015e+00,-1.635121832692973745e-02
8.514629258517034671e-01,1.310888988437734604e+00,-1.603165160346074411e-02
8.554509018036072776e-01,1.315949868095488418e+00,-1.568133409793303137e-02
8.594388777555110881e-01,1.321103062557394514e+00,-1.529696138494539628e-02
8.634268537074148986e-01,1.326350916619567721e+00,-1.487465551252730757e-02
8.674148296593187091e-01,1.331695574279982308e+00,-1.440986404306407107e-02
8.714028056112225196e-01,1.337138787281187513e+00,-1.389726901643037124e-02
8.753907815631263301e-01,1.342681639033525887e+00,-1.333073985940333786e-02
8.793787575150301405e-01,1.348324181070384320e+00,-1.270338934169394640e-02
8.833667334669339510e-01,1.354065022344735247e+00,-1.200781300675096350e-02
8.873547094188377615e-01,1.359900986659385413e+00,-1.123657841131129806e-02
8.913426853707415720e-01,1.365827022821933578e+00,-1.038293896327407637e-02
8.953306613226453825e-01,1.371836524045888961e+00,-9.441587453130097229e-03
8.993186372745491930e-01,1.377922030531469888e+00,-8.409160479447820580e-03
9.033066132264530035e-01,1.384076066919293968e+00,-7.284300048062936073e-03
9.072945891783568140e-01,1.390291814389394087e+00,-6.067319714381818295e-03
9.112825651302606245e-01,1.396563467983891860e+00,-4.759690051715922791e-03
9.152705410821644350e-01,1.402886311633268601e+00,-3.363546614097307971e-03
9.192585170340682454e-01,1.409256624044750827e+00,-1.881318927995953181e-03
9.232464929859720559e-01,1.415671517669521151e+00,-3.154908104077752597e-04
