# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
3.649298597194389204e-01,1.179080567534596335e+00,-4.161154503807493361e-03
3.689178356713427309e-01,1.183399105824118003e+00,-4.218559345806304796e-03
3.729058116232465414e-01,1.187786993986457151e+00,-4.274897150927214895e-03
3.768937875751503519e-01,1.192245416927835810e+00,-4.330089691640792021e-03
3.808817635270541624e-01,1.196775607222582138e+00,-4.384055371112401643e-03
3.848697394789579729e-01,1.201378847457761356e+00,-4.436708978562174145e-03
3.888577154308617834e-01,1.206056472746103392e+00,-4.487961420695806697e-03
3.928456913827655939e-01,1.210809873428660755e+00,-4.537719426232887480e-03
3.968336673346693488e-01,1.215640497982557466e+00,-4.585885219819628260e-03
4.008216432865731593e-01,1.220549856164100389e+00,-4.632356161373799540e-03
4.048096192384769698e-01,1.225539522409006876e+00,-4.677024345724653878e-03
4.087975951903807803e-01,1.230611139526423425e+00,-4.719776157008365690e-03
4.127855711422845908e-01,1.235766422718665991e+00,-4.760491770785756777e-03
4.167735470941884013e-01,1.241007163974725325e+00,-4.799044595861449297e-03
4.207615230460922118e-01,1.246335236882333275e+00,-4.835300645935872339e-03
4.247494989979960223e-01,1.251752601920734120e+00,-4.869117829352702029e-03
4.287374749498998328e-01,1.257261312301882983e+00,-4.900345142730485812e-03
4.327254509018036432e-01,1.262863520441874332e+00,-4.928821751045271878e-03
4.367134268537074537e-01,1.268561485160768498e+00,-4.954375932871311894e-03
4.407014028056112642e-01,1.274357579727005918e+00,-4.976823864554468825e-03
4.446893787575150747e-01,1.280254300886488839e+00,-4.995968210454757724e-03
4.486773547094188852e-01,1.286254279049060756e+00,-5.011596478406469928e-03
4.526653306613226957e-01,1.292360289837841014e+00,-5.023479088460568696e-03
4.566533066132265062e-01,1.298575267259190591e+00,-5.031367088912157282e-03
4.606412825651303167e-01,1.304902318810403417e+00,-5.034989434576297822e-03
4.646292585170341272e-01,1.311344742921375151e+00,-5.034049716844964106e-03
4.686172344689379377e-01,1.317906049230751275e+00,-5.028222200354507017e-03
4.726052104208417481e-01,1.324589982331725091e+00,-5.017146973456545513e-03
4.765931863727455586e-01,1.331400549810119349e+00,-5.000423953257891393e-03
4.805811623246493136e-01,1.338342055635168837e+00,-4.977605392150483490e-03
4.845691382765531241e-01,1.345419140307551276e+00,-4.948186399195145073e-03
4.885571142284569346e-01,1.352637114959426290e+00,-4.911539238351730202e-03
4.925450901803607451e-01,1.360000961287130217e+00,-4.867088671074305817e-03
4.965330661322645556e-01,1.367516905656735116e+00,-4.814026611428467647e-03
5.005210420841683661e-01,1.375191568633103545e+00,-4.751445743653544967e-03
5.045090180360721765e-01,1.383032314901259552e+00,-4.678260180587915339e-03
