# rs, eps_c approx, eps_C PW92, absolute difference
1.070000000000000000e+02,-4.092904810454107978e-03,-3.010581501758589559e-03,1.082323308695518418e-03
1.080000000000000000e+02,-4.065235818413870904e-03,-2.986523412006343581e-03,1.078712406407527323e-03
1.090000000000000000e+02,-4.037976350486602826e-03,-2.962861666428882792e-03,1.075114684057720035e-03
1.100000000000000000e+02,-4.011116841332319251e-03,-2.939586364736601273e-03,1.071530476595717978e-03
1.110000000000000000e+02,-3.984648030900093604e-03,-2.916687937484677834e-03,1.067960093415415770e-03
1.120000000000000000e+02,-3.958560952105415198e-03,-2.894157132258571349e-03,1.064403819846843850e-03
1.130000000000000000e+02,-3.932846919106532460e-03,-2.871985000547296659e-03,1.060861918559235801e-03
1.140000000000000000e+02,-3.907497516146091372e-03,-2.850162885270081468e-03,1.057334630876009905e-03
1.150000000000000000e+02,-3.882504586925811501e-03,-2.828682408912851828e-03,1.053822178012959673e-03
1.160000000000000000e+02,-3.857860224485288713e-03,-2.807535462246455414e-03,1.050324762238833299e-03
1.170000000000000000e+02,-3.833556761556470779e-03,-2.786714193587597806e-03,1.046842567968872973e-03
1.180000000000000000e+02,-3.809586761368072109e-03,-2.766210998574600462e-03,1.043375762793471648e-03
1.190000000000000000e+02,-3.785943008875528298e-03,-2.746018510430471137e-03,1.039924498445057161e-03
1.200000000000000000e+02,-3.762618502393210058e-03,-2.726129590683845465e-03,1.036488911709364594e-03
