# rs, eps_c approx, eps_C PW92, absolute difference
1.700000000000000000e+01,-1.082049822276029589e-02,-1.295650096148673672e-02,2.136002738726440822e-03
1.800000000000000000e+01,-1.016325158057634730e-02,-1.243974447493568711e-02,2.276492894359339811e-03
1.900000000000000000e+01,-9.612427192333494394e-03,-1.196602998570098046e-02,2.353602793367486068e-03
2.000000000000000000e+01,-9.099832067285517842e-03,-1.152998932265904795e-02,2.430157255373530112e-03
2.100000000000000000e+01,-8.624165269444462878e-03,-1.112713159978959490e-02,2.502966330345132023e-03
2.200000000000000000e+01,-8.181797422836581055e-03,-1.075366828709077571e-02,2.571870864254194658e-03
2.300000000000000000e+01,-7.769367905072707865e-03,-1.040637900646028229e-02,2.637011101387574420e-03
2.400000000000000000e+01,-7.384103703698970123e-03,-1.008250730704609091e-02,2.698403603347120788e-03
2.500000000000000000e+01,-7.024405243351648787e-03,-9.779678820178785981e-03,2.755273576827137194e-03
2.600000000000000000e+01,-6.697652160368517196e-03,-9.495836334143916216e-03,2.798184173775399020e-03
2.700000000000000000e+01,-6.333777032714614508e-03,-9.229187810353515001e-03,2.895410777638900493e-03
2.800000000000000000e+01,-6.044324679311932451e-03,-8.978164403929570631e-03,2.933839724617638180e-03
2.900000000000000000e+01,-5.759705157607462184e-03,-8.741386294491998790e-03,2.981681136884536606e-03
3.000000000000000000e+01,-5.488219268929058620e-03,-8.517634669728055621e-03,3.029415400798997002e-03
3.100000000000000000e+01,-5.229691088495950872e-03,-8.305828596975059139e-03,3.076137508479108267e-03
3.200000000000000000e+01,-4.983293639175951500e-03,-8.105005808519902266e-03,3.121712169343950766e-03
3.300000000000000000e+01,-4.748134665773921445e-03,-7.914306643456501048e-03,3.166171977682579602e-03
3.400000000000000000e+01,-4.523362186803691828e-03,-7.732960552838278288e-03,3.209598366034586460e-03
3.500000000000000000e+01,-4.308187095518015153e-03,-7.560274699708189466e-03,3.252087604190174314e-03
3.600000000000000000e+01,-4.101885221981385957e-03,-7.395624281484870083e-03,3.293739059503484126e-03
3.700000000000000000e+01,-3.903793488484756137e-03,-7.238444276449476286e-03,3.334650787964720149e-03
3.800000000000000000e+01,-3.713304446822125477e-03,-7.088222374004170441e-03,3.374917927182044964e-03
3.900000000000000000e+01,-3.529860620681271252e-03,-6.944492893892933658e-03,3.414632273211662405e-03
4.000000000000000000e+01,-3.352949143681409686e-03,-6.806831535571298414e-03,3.453882391889888728e-03
4.100000000000000000e+01,-3.182096846138704818e-03,-6.674850827561355782e-03,3.492753981422650963e-03
4.200000000000000000e+01,-3.016865814276511321e-03,-6.548196169566674121e-03,3.531330355290162801e-03
4.300000000000000000e+01,-2.856849396148259008e-03,-6.426542378589965299e-03,3.569692982441706290e-03
4.400000000000000000e+01,-2.701668612217267718e-03,-6.309590665246941205e-03,3.607922053029673486e-03
4.500000000000000000e+01,-2.550968927361942692e-03,-6.197065978631778778e-03,3.646097051269836086e-03
4.600000000000000000e+01,-2.404417348717694317e-03,-6.088714668033298229e-03,3.684297319315603912e-03
4.700000000000000000e+01,-2.261699830096544281e-03,-5.984302417972517212e-03,3.722602587875972931e-03
4.800000000000000000e+01,-2.122518994575535098e-03,-5.883612419763766151e-03,3.761093425188231053e-03
4.900000000000000000e+01,-1.986592248787106066e-03,-5.786443748391000702e-03,3.799851499603894636e-03
5.000000000000000000e+01,-1.853650498450129785e-03,-5.692609918126978474e-03,3.838959419676848690e-03
5.100000000000000000e+01,-1.723438002723167925e-03,-5.601937594206562836e-03,3.878499591483394911e-03
5.200000000000000000e+01,-1.595714784122586986e-03,-5.514265441111961159e-03,3.918550656989374173e-03
5.300000000000000000e+01,-1.470265696758305679e-03,-5.429443090758990544e-03,3.959177394000684864e-03
5.400000000000000000e+01,-1.346930051289402502e-03,-5.347330216184650008e-03,4.000400164895247940e-03
5.500000000000000000e+01,-1.225712044827612871e-03,-5.267795698285910461e-03,4.042083653458298023e-03
5.600000000000000000e+01,-1.107373144922332419e-03,-5.190716874819836096e-03,4.083343729897503244e-03
5.700000000000000000e+01,-1.002601176694520226e-03,-5.115978862287306854e-03,4.113377685592787061e-03
5.800000000000000000e+01,-8.467020819864551264e-04,-5.043473942533034833e-03,4.196771860546579490e-03
5.900000000000000000e+01,-7.376769749063171767e-04,-4.973101006926714147e-03,4.235424032020396537e-03
6.000000000000000000e+01,-6.211749725660026126e-04,-4.904765051878102675e-03,4.283590079312099737e-03
6.100000000000000000e+01,-5.030412188771093323e-04,-4.838376720211059329e-03,4.335335501333950105e-03
6.200000000000000000e+01,-3.835456671381152604e-04,-4.773851883573673391e-03,4.390306216435557914e-03
6.300000000000000000e+01,-2.622540129765910609e-04,-4.711111261641768612e-03,4.448857248665177497e-03
6.400000000000000000e+01,-1.383868361941597040e-04,-4.650080074367317004e-03,4.511693238173157192e-03
6.500000000000000000e+01,-1.076665395082556384e-05,-4.590687723953407184e-03,4.579921070002581675e-03
6.600000000000000000e+01,1.224644739144236803e-04,-4.532867503619361811e-03,4.655331977533785220e-03
6.700000000000000000e+01,2.646422490823264789e-04,-4.476556330540849490e-03,4.741198579623176132e-03
6.800000000000000000e+01,4.234630468682520714e-04,-4.421694500646831602e-03,4.845157547515083728e-03
6.900000000000000000e+01,6.313843820648539547e-04,-4.368225463200842151e-03,4.999609845265696323e-03
7.000000000000000000e+01,3.118846268036384634e-04,-4.316095613319767196e-03,4.627980240123405822e-03
7.100000000000000000e+01,9.472094371428636458e-04,-4.265254100775889810e-03,5.212463537918753456e-03
7.200000000000000000e+01,1.072237195787485806e-03,-4.215652653605557985e-03,5.287889849393044225e-03
7.300000000000000000e+01,2.047062226731739387e-03,-4.167245415193728333e-03,6.214307641925468154e-03
7.400000000000000000e+01,1.415649184167679748e-03,-4.119988793644139766e-03,5.535637977811819731e-03
