# rs, eps_c approx, eps_C PW92, absolute difference
7.700000000000000000e+01,-3.955991066433464480e-03,-3.984717825022791003e-03,2.872675858932652315e-05
7.800000000000000000e+01,-3.898678190041982190e-03,-3.941668375781214040e-03,4.299018573923184955e-05
7.900000000000000000e+01,-3.820877882601689084e-03,-3.899581015862842344e-03,7.870313326115326025e-05
8.000000000000000000e+01,-3.865415159038779191e-03,-3.858423143628374533e-03,6.992015410404658904e-06
8.100000000000000000e+01,-3.780327332426916716e-03,-3.818163633598980859e-03,3.783630117206414345e-05
8.200000000000000000e+01,-3.687995541330651647e-03,-3.778772753086415397e-03,9.077721175576375021e-05
8.300000000000000000e+01,-3.682594871370879937e-03,-3.740222084445152338e-03,5.762721307427240078e-05
8.400000000000000000e+01,-3.677724239589827415e-03,-3.702484452510863226e-03,2.476021292103581031e-05
8.500000000000000000e+01,-3.582950607950955314e-03,-3.665533856822247600e-03,8.258324887129228631e-05
8.600000000000000000e+01,-3.560956814128784023e-03,-3.629345408261482747e-03,6.838859413269872400e-05
8.700000000000000000e+01,-3.588743531783160183e-03,-3.593895269776121743e-03,5.151737992961560181e-06
8.800000000000000000e+01,-3.562129999552809696e-03,-3.559160600883795860e-03,2.969398669013835479e-06
8.900000000000000000e+01,-3.483066457281847744e-03,-3.525119505671316621e-03,4.205304838946887641e-05
9.000000000000000000e+01,-3.521434293579309670e-03,-3.491750984040337558e-03,2.968330953897211147e-05
9.100000000000000000e+01,-3.404971573174060424e-03,-3.459034885960316115e-03,5.406331278625569128e-05
9.200000000000000000e+01,-3.329709052684612456e-03,-3.426951868513498662e-03,9.724281582888620601e-05
9.300000000000000000e+01,-3.824038337416785574e-03,-3.395483355536486458e-03,4.285549818802991164e-04
9.400000000000000000e+01,-3.329737275257141447e-03,-3.364611499673226397e-03,3.487422441608495002e-05
9.500000000000000000e+01,-3.320072011724549584e-03,-3.334319146675460057e-03,1.424713495091047347e-05
9.600000000000000000e+01,-3.260513932150098902e-03,-3.304589801793811170e-03,4.407586964371226768e-05
