# r (bohr), g(r)
669.850200,1.003580
670.393800,1.002330
670.937400,1.002820
671.481000,1.002430
672.023700,1.002270
672.565500,1.003840
673.107300,1.000260
673.648200,1.001700
674.189100,1.000470
674.730000,1.000910
675.270000,1.001840
675.809100,1.001140
676.348200,1.003320
676.887300,1.001380
677.425500,0.999410
677.963700,1.002760
678.501000,1.002020
679.038300,1.003180
679.574700,1.002410
680.110200,1.000290
680.646600,1.003230
681.181200,1.000560
681.716700,1.001340
682.251300,0.997975
682.785000,1.001520
683.318700,0.998344
683.851500,0.999402
684.384300,1.000790
684.917100,0.999043
685.449000,1.000480
685.980900,1.001680
686.511900,0.999945
687.042900,1.000720
687.573000,1.002880
688.103100,0.999737
688.632300,0.996828
689.161500,0.999911
689.689800,0.999922
690.218100,0.998866
690.746400,0.999846
691.273800,1.000320
691.801200,0.998564
692.327700,1.001870
692.854200,1.001210
693.379800,0.996631
693.905400,0.998503
694.430100,0.998442
694.954800,0.999984
695.479500,1.001310
696.003300,1.001680
696.527100,0.999776
697.050000,1.000500
697.572900,0.999474
698.094900,0.998661
698.616900,0.998333
699.138000,0.999436
699.659100,0.999490
700.180200,0.997411
700.700400,0.997734
701.220600,0.999001
701.739900,1.001200
702.259200,0.996374
702.778500,0.998262
703.296900,0.997138
703.815300,0.996866
704.332800,0.998654
704.850300,0.997076
705.366900,0.997326
705.883500,1.001470
706.399200,0.998328
706.915800,0.998355
707.430600,0.996741
707.946300,0.994702
708.460200,0.999152
708.975000,0.999277
709.488900,0.999647
710.002800,0.997754
710.515800,0.998446
711.028800,0.997436
711.540900,0.999500
712.053000,0.996924
712.565100,0.997561
713.076300,0.999018
713.586600,0.998052
714.097800,1.001870
714.608100,0.996287
715.117500,0.997925
715.626900,0.999421
716.136300,0.999001
716.645700,0.998050
717.153300,0.998489
717.661800,0.999730
718.169400,0.998989
718.677000,0.997827
719.183700,0.999904
719.690400,0.999758
720.197100,0.996267
720.702900,0.997518
721.208700,0.997309
721.713600,0.998780
722.218500,0.998800
722.722500,0.998314
723.227400,0.999046
723.730500,0.996686
724.234500,0.997736
724.737600,0.999423
725.240700,0.997977
725.742900,0.997620
726.245100,0.998441
726.746400,1.000840
727.247700,0.996828
727.749000,0.998087
728.249400,0.998821
728.749800,0.998239
729.250200,1.000460
729.749700,0.997661
730.249200,0.999783
730.747800,0.998957
731.246400,1.001400
731.745000,0.997923
732.242700,0.995062
732.740400,0.987882
733.237200,0.983524
733.734900,0.981229
734.230800,0.976527
734.727600,0.971330
735.223500,0.968064
735.719400,0.964496
736.214400,0.964058
736.709400,0.956638
737.203500,0.952145
737.698500,0.949872
738.191700,0.942853
738.685800,0.941740
739.179000,0.937777
739.672200,0.935483
740.164500,0.931660
740.656800,0.925197
741.149100,0.921667
741.640500,0.917233
742.131900,0.914300
742.622400,0.910464
743.112900,0.908602
743.603400,0.902239
744.093900,0.898090
744.583500,0.895909
745.073100,0.890307
745.561800,0.884766
746.050500,0.884579
