# q/(2k_F),k_F critical
8.433333333333333792e-01,2.630248093922994690e-02
8.458358358358358808e-01,2.711605862777519485e-02
8.483383383383383824e-01,2.793040540249486572e-02
8.508408408408408841e-01,2.874500959477158807e-02
8.533433433433433857e-01,2.955937238823938551e-02
8.558458458458458873e-01,3.037300725999014100e-02
8.583483483483483889e-01,3.118544016683812148e-02
8.608508508508508905e-01,3.199620861399737892e-02
8.633533533533533921e-01,3.280486295893340898e-02
8.658558558558558937e-01,3.361096398992442086e-02
8.683583583583583954e-01,3.441408478870644494e-02
8.708608608608608970e-01,3.521380849529928692e-02
8.733633633633633986e-01,3.600972942559347439e-02
8.758658658658659002e-01,3.680145195376329642e-02
8.783683683683684018e-01,3.758858939467960014e-02
8.808708708708709034e-01,3.837076623908408646e-02
8.833733733733734050e-01,3.914761442829894217e-02
8.858758758758759067e-01,3.991877447181396005e-02
8.883783783783784083e-01,4.068389544728652496e-02
8.908808808808809099e-01,4.144263388295457012e-02
8.933833833833834115e-01,4.219465226752042164e-02
8.958858858858859131e-01,4.293962128532497619e-02
8.983883883883884147e-01,4.367721571852845042e-02
9.008908908908909163e-01,4.440711705481349691e-02
9.033933933933934179e-01,4.512900976209499593e-02
9.058958958958959196e-01,4.584258464128126292e-02
9.083983983983984212e-01,4.654753361086770569e-02
9.109009009009009228e-01,4.724355268716899647e-02
9.134034034034034244e-01,4.793033937661594912e-02
9.159059059059059260e-01,4.860759267575542886e-02
9.184084084084084276e-01,4.927501120860533490e-02
9.209109109109109292e-01,4.993229322665447556e-02
9.234134134134134309e-01,5.057913623633364386e-02
9.259159159159159325e-01,5.121523327372536072e-02
9.284184184184184341e-01,5.184027625732497147e-02
9.309209209209209357e-01,5.245394965504737717e-02
9.334234234234234373e-01,5.305593271940108047e-02
9.359259259259259389e-01,5.364589650725601344e-02
9.384284284284284405e-01,5.422350201719841611e-02
9.409309309309309421e-01,5.478839907194373721e-02
9.434334334334334438e-01,5.534022333810442729e-02
9.459359359359359454e-01,5.587859260089967500e-02
9.484384384384384470e-01,5.640310676415542790e-02
9.509409409409409486e-01,5.691334114478191486e-02
9.534434434434434502e-01,5.740884349254143232e-02
9.559459459459459518e-01,5.788913100981612353e-02
9.584484484484484534e-01,5.835367917573720115e-02
9.609509509509509551e-01,5.880191802089471120e-02
9.634534534534534567e-01,5.923322393169891398e-02
9.659559559559559583e-01,5.964690325910318447e-02
9.684584584584584599e-01,6.004218114273318641e-02
9.709609609609609615e-01,6.041817915914531045e-02
9.734634634634634631e-01,6.077389073491101801e-02
9.759659659659659647e-01,6.110814463877214942e-02
9.784684684684684663e-01,6.141955282757739082e-02
9.809709709709709680e-01,6.170643892070920566e-02
9.834734734734734696e-01,6.196672271608572036e-02
9.859759759759759712e-01,6.219774286634432992e-02
9.884784784784784728e-01,6.239594842480807035e-02
9.909809809809809744e-01,6.255631621008871102e-02
9.934834834834834760e-01,6.267111698995227187e-02
9.959859859859859776e-01,6.272663424565699808e-02
9.984884884884884793e-01,6.268999601593801263e-02
1.000990990990990870e+00,6.243745858913066216e-02
1.003493493493493371e+00,6.233219008198748190e-02
1.005995995995995873e+00,6.229952897215135232e-02
1.008498498498498375e+00,6.230036194705376729e-02
1.011001001001001098e+00,6.232108648183492389e-02
1.013503503503503600e+00,6.235477130143483177e-02
1.016006006006006102e+00,6.239726270721222129e-02
1.018508508508508603e+00,6.244582857128955222e-02
1.021011011011011105e+00,6.249855856482085942e-02
1.023513513513513606e+00,6.255406017430650834e-02
1.026016016016016108e+00,6.261128435800894509e-02
1.028518518518518610e+00,6.266942272794148727e-02
1.031021021021021111e+00,6.272784272981772602e-02
1.033523523523523613e+00,6.278603921427834689e-02
1.036026026026026114e+00,6.284360463456870050e-02
1.038528528528528616e+00,6.290021042008775431e-02
1.041031031031031118e+00,6.295558611476259614e-02
1.043533533533533619e+00,6.300951267152582469e-02
1.046036036036036121e+00,6.306180606103850561e-02
1.048538538538538623e+00,6.311231876180634082e-02
1.051041041041041124e+00,6.316092709419265927e-02
1.053543543543543626e+00,6.320752898524426011e-02
1.056046046046046127e+00,6.325204396869157919e-02
1.058548548548548629e+00,6.329440424425178402e-02
1.061051051051051131e+00,6.333455691280319433e-02
1.063553553553553632e+00,6.337246099615294337e-02
1.066056056056056134e+00,6.340808445680476413e-02
1.068558558558558635e+00,6.344140270784298652e-02
1.071061061061061137e+00,6.347240010304844304e-02
1.073563563563563639e+00,6.350106695666651868e-02
1.076066066066066140e+00,6.352739805329077338e-02
1.078568568568568642e+00,6.355139413797933345e-02
1.081071071071071144e+00,6.357305893602241409e-02
1.083573573573573645e+00,6.359240064305862750e-02
1.086076076076076147e+00,6.360943118001675944e-02
1.088578578578578648e+00,6.362416321288373589e-02
1.091081081081081150e+00,6.363661313293671185e-02
1.093583583583583652e+00,6.364679956662694371e-02
1.096086086086086153e+00,6.365474263052189885e-02
1.098588588588588655e+00,6.366046318624701827e-02
1.101091091091091156e+00,6.366398582071802759e-02
1.103593593593593658e+00,6.366533288567646776e-02
1.106096096096096160e+00,6.366453045815420597e-02
1.108598598598598661e+00,6.366160461518305391e-02
1.111101101101101163e+00,6.365658143379482325e-02
1.113603603603603664e+00,6.364948997125358110e-02
1.116106106106106166e+00,6.364035704964920992e-02
1.118608608608608668e+00,6.362921098118769214e-02
1.121111111111111169e+00,6.361608007807495468e-02
1.123613613613613671e+00,6.360099488769122011e-02
1.126116116116116173e+00,6.358398297718437231e-02
1.128618618618618674e+00,6.356507340381850613e-02
1.131121121121121176e+00,6.354429746003172064e-02
1.133623623623623677e+00,6.352168271297201074e-02
1.136126126126126179e+00,6.349725971001954350e-02
1.138628628628628681e+00,6.347105750843830274e-02
1.141131131131131182e+00,6.344310591055039861e-02
1.143633633633633684e+00,6.341343248350375661e-02
1.146136136136136185e+00,6.338206777467852993e-02
1.148638638638638687e+00,6.334904084133874402e-02
1.151141141141141189e+00,6.331437925063236605e-02
1.153643643643643690e+00,6.327811280488145063e-02
1.156146146146146192e+00,6.324026832617588023e-02
1.158648648648648694e+00,6.320087487177969421e-02
1.161151151151151195e+00,6.315996075389890274e-02
1.163653653653653697e+00,6.311755279462336055e-02
1.166156156156156198e+00,6.307367781604292234e-02
1.168658658658658700e+00,6.302836413036362606e-02
1.171161161161161202e+00,6.298163781461729727e-02
1.173663663663663703e+00,6.293352494583570600e-02
1.176166166166166205e+00,6.288405234610881800e-02
1.178668668668668706e+00,6.283324609246837555e-02
1.181171171171171208e+00,6.278113077183018753e-02
1.183673673673673710e+00,6.272773171616795318e-02
1.186176176176176211e+00,6.267307425745549665e-02
1.188678678678678713e+00,6.261718372766658658e-02
1.191181181181181215e+00,6.256008247854277782e-02
1.193683683683683716e+00,6.250179658711590980e-02
1.196186186186186218e+00,6.244234766006948739e-02
