rs, PW92, RPA, ALDA, MCP07, rMCP07/TC21, CP07, RA
5.00000000000000      , -2.821626106897376E-002 , -4.246711073862588E-002 , -1.515186120556989E-002 , -2.849506062799206E-002 , -2.929848471500601E-002 , -2.803081696903055E-002 , -2.794295619221189E-002
6.00000000000000      , -2.542714539639101E-002 , -3.911548130509102E-002 , -1.204158900856865E-002 , -2.532721158803440E-002 , -2.636969161080789E-002 , -2.529418662029299E-002 , -2.524616744724614E-002
7.00000000000000      , -2.320816096757215E-002 , -3.641418841139520E-002 , -9.502561580542745E-003 , -2.279264914730096E-002 , -2.402506774695948E-002 , -2.318111021590108E-002 , -2.308511383116004E-002
8.00000000000000      , -2.139069597857464E-002 , -3.417179368224413E-002 , -7.359114166711860E-003 , -2.070270525965857E-002 , -2.209449656024230E-002 , -2.148320203227207E-002 , -2.129635613152356E-002
9.00000000000000      , -1.986889134720093E-002 , -3.228847910877423E-002 , -5.538641857749777E-003 , -1.896482529106703E-002 , -2.049570082885924E-002 , -2.009785737752787E-002 , -1.980404558657347E-002
10.0000000000000      , -1.857229774384831E-002 , -3.065617285275753E-002 , -3.926212841464063E-003 , -1.746759155705643E-002 , -1.912333518001270E-002 , -1.891933875472972E-002 , -1.850831001753746E-002
11.0000000000000      , -1.745189502701905E-002 , -2.923622167355307E-002 , -2.481601857741305E-003 , -1.616454606040443E-002 , -1.793675562158906E-002 , -1.790706664624446E-002 , -1.736243831083602E-002
12.0000000000000      , -1.647235007511409E-002 , -2.797758494796230E-002 , -1.183034300343513E-003 , -1.502711326656120E-002 , -1.690521944801903E-002 , -1.702670074166363E-002 , -1.635789266538471E-002
13.0000000000000      , -1.560745502364823E-002 , -2.685500554185443E-002 ,  4.743655730884020E-006 , -1.401972879551063E-002 , -1.599690708042952E-002 , -1.625069320727260E-002 , -1.545317273586004E-002
14.0000000000000      , -1.483730261866405E-002 , -2.584558719587324E-002 ,  1.102356654831481E-003 , -1.312012874567728E-002 , -1.519048550180588E-002 , -1.555985522061770E-002 , -1.460923585075413E-002
15.0000000000000      , -1.414646455271536E-002 , -2.493152035555037E-002 ,  2.126515073707246E-003 , -1.231088579881562E-002 , -1.446932272092459E-002 , -1.493962693034204E-002 , -1.386746378851210E-002
16.0000000000000      , -1.352277601301140E-002 , -2.409871029429275E-002 ,  3.090723740521424E-003 , -1.157824757446250E-002 , -1.382024744753136E-002 , -1.437873234974442E-002 , -1.352722059223429E-002
17.0000000000000      , -1.295650096148673E-002 , -2.333583037743526E-002 ,  4.005866698457403E-003 , -1.091126931241036E-002 , -1.323268349587338E-002 , -1.386828007632159E-002 , -1.256461607904212E-002
18.0000000000000      , -1.243974447493569E-002 , -2.263365445289307E-002 ,  4.881632031799499E-003 , -1.030093869710544E-002 , -1.269803412931246E-002 , -1.340114692817052E-002 , -1.217430653180653E-002
19.0000000000000      , -1.196602998570098E-002 , -2.198458366155320E-002 ,  5.726215404009556E-003 , -9.739925681355564E-003 , -1.220924253910162E-002 , -1.297155287141134E-002 , -1.155990428031174E-002
20.0000000000000      , -1.152998932265905E-002 , -2.138229134198192E-002 ,  6.547070066051569E-003 , -9.222152304250129E-003 , -1.176045805086244E-002 , -1.257474848334106E-002 , -1.113872833403227E-002
