# q,<w**1.0>/wp(0)**1.0
9.300000000000000488e-01,1.107178320646452080e-01
9.400000000000000577e-01,1.131097479150321994e-01
9.500000000000000666e-01,1.155271772776892969e-01
9.600000000000000755e-01,1.179701193248970936e-01
9.699999999999999734e-01,1.204385766592451917e-01
9.799999999999999822e-01,1.229325520424017493e-01
9.899999999999999911e-01,1.254520446490058061e-01
1.000000000000000000e+00,1.279970585576273856e-01
1.010000000000000009e+00,1.305675929105998001e-01
1.020000000000000018e+00,1.331636519366641291e-01
1.030000000000000027e+00,1.357852347136517535e-01
1.040000000000000036e+00,1.384323455893995414e-01
1.050000000000000044e+00,1.411049835554072096e-01
1.060000000000000053e+00,1.438031516385109565e-01
1.070000000000000062e+00,1.465268529794233887e-01
1.080000000000000071e+00,1.492760863717464692e-01
1.090000000000000080e+00,1.520508563999483642e-01
1.100000000000000089e+00,1.548511617102565907e-01
1.110000000000000098e+00,1.576770069551383102e-01
1.120000000000000107e+00,1.605283906152621398e-01
1.130000000000000115e+00,1.634053173982600859e-01
1.140000000000000124e+00,1.663077872524917900e-01
1.150000000000000133e+00,1.692358000018314712e-01
1.160000000000000142e+00,1.721893603907698744e-01
1.169999999999999929e+00,1.751684664760256305e-01
1.179999999999999938e+00,1.781731230400219745e-01
1.189999999999999947e+00,1.812033279335689140e-01
1.199999999999999956e+00,1.842590859930800518e-01
1.209999999999999964e+00,1.873403948543017339e-01
1.219999999999999973e+00,1.904472594047292577e-01
1.229999999999999982e+00,1.935796789843187149e-01
1.239999999999999991e+00,1.967376527849200030e-01
1.250000000000000000e+00,1.999211857523573721e-01
1.260000000000000009e+00,2.031302750185632056e-01
1.270000000000000018e+00,2.063649255774447633e-01
1.280000000000000027e+00,2.096251343555621538e-01
1.290000000000000036e+00,2.129109064199386503e-01
1.300000000000000044e+00,2.162222406256113783e-01
1.310000000000000053e+00,2.195591356964134988e-01
1.320000000000000062e+00,2.229215967774704765e-01
1.330000000000000071e+00,2.263096225515149607e-01
1.340000000000000080e+00,2.297232115321586055e-01
1.350000000000000089e+00,2.331623690189363607e-01
1.360000000000000098e+00,2.366270911513530806e-01
1.370000000000000107e+00,2.401173833343027697e-01
