# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.014969939879759586e+00,1.115347077542086174e+00,-3.185399430872493803e-02
1.018957915831663508e+00,1.117468996556192584e+00,-3.179808202818427965e-02
1.022945891783567207e+00,1.119627600714147464e+00,-3.173222771991324881e-02
1.026933867735471129e+00,1.121823550904200273e+00,-3.165603130648395047e-02
1.030921843687374828e+00,1.124057522413688615e+00,-3.156907073240224071e-02
1.034909819639278528e+00,1.126330205169636445e+00,-3.147090017110627108e-02
1.038897795591182449e+00,1.128642303927632762e+00,-3.136104804157797271e-02
1.042885771543086149e+00,1.130994538391067339e+00,-3.123901481172000963e-02
1.046873747494990070e+00,1.133387643238107589e+00,-3.110427056310141603e-02
1.050861723446893770e+00,1.135822368027846307e+00,-3.095625228903440412e-02
1.054849699398797691e+00,1.138299476949615530e+00,-3.079436089533001478e-02
1.058837675350701391e+00,1.140819748370190068e+00,-3.061795787070198741e-02
1.062825651302605312e+00,1.143383974121962243e+00,-3.042636159191246595e-02
1.066813627254509012e+00,1.145992958460787525e+00,-3.021884322788210425e-02
1.070801603206412933e+00,1.148647516604271113e+00,-2.999462220774332458e-02
1.074789579158316633e+00,1.151348472739399220e+00,-2.975286122129878336e-02
1.078777555110220554e+00,1.154096657361654676e+00,-2.949266072791304275e-02
1.082765531062124253e+00,1.156892903775784909e+00,-2.921305296369604634e-02
1.086753507014028175e+00,1.159738043550777586e+00,-2.891299545977352170e-02
1.090741482965931874e+00,1.162632900678842063e+00,-2.859136412054308699e-02
1.094729458917835796e+00,1.165578284141698617e+00,-2.824694596528835866e-02
1.098717434869739495e+00,1.168574978541363940e+00,-2.787843171626894906e-02
1.102705410821643417e+00,1.171623732413655361e+00,-2.748440852924972921e-02
1.106693386773547116e+00,1.174725243824170651e+00,-2.706335331697435828e-02
1.110681362725451038e+00,1.177880142868712232e+00,-2.661362731878052362e-02
1.114669338677354737e+00,1.181088970794141657e+00,-2.613347282072659566e-02
1.118657314629258659e+00,1.184352155662470096e+00,-2.562101321627274775e-02
1.122645290581162358e+00,1.187669984847753213e+00,-2.507425787841451731e-02
1.126633266533066280e+00,1.191042575220506272e+00,-2.449111351345711202e-02
1.130621242484969979e+00,1.194469842640446977e+00,-2.386940366525550430e-02
1.134609218436873901e+00,1.197951473274330825e+00,-2.320689769007835274e-02
1.138597194388777600e+00,1.201486900106914835e+00,-2.250134969937765683e-02
1.142585170340681522e+00,1.205075288546014978e+00,-2.175054663754355869e-02
1.146573146292585221e+00,1.208715534926781077e+00,-2.095236295766833567e-02
1.150561122244489143e+00,1.212406280760341959e+00,-2.010481760765203685e-02
1.154549098196392842e+00,1.216145943711559596e+00,-1.920612771671320260e-02
1.158537074148296764e+00,1.219932763785115393e+00,-1.825475297883723605e-02
1.162525050100200463e+00,1.223764860612192473e+00,-1.724942560200442079e-02
1.166513026052104385e+00,1.227640295805346948e+00,-1.618916279380352638e-02
1.170501002004008084e+00,1.231557133717387398e+00,-1.507326157673218037e-02
1.174488977955912006e+00,1.235513494792153111e+00,-1.390127844403795873e-02
1.178476953907815705e+00,1.239507597661170690e+00,-1.267299821145573442e-02
1.182464929859719627e+00,1.243537788496205332e+00,-1.138839703336386004e-02
1.186452905811623326e+00,1.247602558171188925e+00,-1.004760407097330006e-02
1.190440881763527248e+00,1.251700549118140993e+00,-8.650865170874599830e-03
1.194428857715430947e+00,1.255830554331638371e+00,-7.198510615982026649e-03
1.198416833667334869e+00,1.259991510963523131e+00,-5.690927881583070572e-03
1.202404809619238568e+00,1.264182490601079678e+00,-4.128539512841393130e-03
1.206392785571142268e+00,1.268402687847005161e+00,-2.511785742052085896e-03
1.210380761523046189e+00,1.272651408352599267e+00,-8.411112192752586130e-04
