# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
2.971342685370741976e-01,9.865473961376997059e-01,-3.657086340363180713e-03
3.011222444889780081e-01,9.861810428251558402e-01,-3.753234563651470374e-03
3.051102204408818186e-01,9.858096598668625310e-01,-3.850521402941592831e-03
3.090981963927855736e-01,9.854332420391492819e-01,-3.948941212098875005e-03
3.130861723446893841e-01,9.850517839758361482e-01,-4.048488271795699055e-03
3.170741482965931946e-01,9.846652803315184554e-01,-4.149156792899762539e-03
3.210621242484970050e-01,9.842737257066954681e-01,-4.250940915173363234e-03
3.250501002004008155e-01,9.838771146863701800e-01,-4.353834708134600440e-03
3.290380761523046260e-01,9.834754417965326789e-01,-4.457832170284206988e-03
3.330260521042084365e-01,9.830687015887871194e-01,-4.562927231247290022e-03
3.370140280561122470e-01,9.826568884979768326e-01,-4.669113748357851292e-03
3.410020040080160575e-01,9.822399970023968363e-01,-4.776385510901947663e-03
3.449899799599198680e-01,9.818180215145940748e-01,-4.884736237436558028e-03
3.489779559118236785e-01,9.813909564360808746e-01,-4.994159577219116873e-03
3.529659318637274890e-01,9.809587961692887159e-01,-5.104649111108778593e-03
3.569539078156312994e-01,9.805215350461435886e-01,-5.216198349430211344e-03
3.609418837675351099e-01,9.800791674000703946e-01,-5.328800733989244240e-03
3.649298597194389204e-01,9.796316875534032409e-01,-5.442449638434807002e-03
3.689178356713427309e-01,9.791790898031181856e-01,-5.557138367500318032e-03
3.729058116232465414e-01,9.787213684196205410e-01,-5.672860157232172650e-03
3.768937875751503519e-01,9.782585176643544544e-01,-5.789608176031114072e-03
3.808817635270541624e-01,9.777910261262593439e-01,-5.907201005063139956e-03
3.848697394789579729e-01,9.773179088565144834e-01,-6.025977078034888516e-03
3.888577154308617834e-01,9.768396450438509016e-01,-6.145758443395869797e-03
3.928456913827655939e-01,9.763562289050816689e-01,-6.266537999412181460e-03
3.968336673346693488e-01,9.758676546477806912e-01,-6.388308577264020967e-03
4.008216432865731593e-01,9.753739164787348370e-01,-6.511062941696990104e-03
4.048096192384769698e-01,9.748750085981151559e-01,-6.634793790884430803e-03
4.087975951903807803e-01,9.743709251994264742e-01,-6.759493756651637278e-03
4.127855711422845908e-01,9.738616604791395792e-01,-6.885155405013140655e-03
4.167735470941884013e-01,9.733472086340039242e-01,-7.011771236287166892e-03
4.207615230460922118e-01,9.728275638628707256e-01,-7.139333685392088014e-03
4.247494989979960223e-01,9.723027203678517028e-01,-7.267835122005464159e-03
4.287374749498998328e-01,9.717726723542197131e-01,-7.397267850866049398e-03
4.327254509018036432e-01,9.712374140403500222e-01,-7.527624112332427335e-03
4.367134268537074537e-01,9.706969396455051857e-01,-7.658896082019092146e-03
4.407014028056112642e-01,9.701512434088290782e-01,-7.791075871970316001e-03
4.446893787575150747e-01,9.696003195746434322e-01,-7.924155530087750171e-03
4.486773547094188852e-01,9.690441624079889626e-01,-8.058127041124792805e-03
4.526653306613226957e-01,9.684827661838693036e-01,-8.192982326336797558e-03
4.566533066132265062e-01,9.679161252013235295e-01,-8.328713244440866595e-03
4.606412825651303167e-01,9.673442337757268694e-01,-8.465311591349890599e-03
