# q,<w**2.0>/wp(0)**2.0
2.810000000000000053e+00,8.464909498550863276e-01
2.819999999999999840e+00,8.607418800447087515e-01
2.829999999999999627e+00,8.751705574249509789e-01
2.839999999999999858e+00,8.897775566016301596e-01
2.849999999999999645e+00,9.045634546758881678e-01
2.859999999999999876e+00,9.195288661278746556e-01
2.869999999999999662e+00,9.346743992160091441e-01
2.879999999999999893e+00,9.500006533078146909e-01
2.889999999999999680e+00,9.655082663317114955e-01
2.899999999999999911e+00,9.811978869164974526e-01
2.909999999999999698e+00,9.970701444731826513e-01
2.919999999999999929e+00,1.013125717848991414e+00
2.929999999999999716e+00,1.029365266119837141e+00
2.939999999999999947e+00,1.045789468026385505e+00
2.949999999999999734e+00,1.062399011990275755e+00
2.959999999999999964e+00,1.079194596035588427e+00
2.969999999999999751e+00,1.096176927787405830e+00
2.979999999999999982e+00,1.113346735720626146e+00
2.989999999999999769e+00,1.130704723887338670e+00
3.000000000000000000e+00,1.148251650929201118e+00
3.009999999999999787e+00,1.165988250565608508e+00
3.020000000000000018e+00,1.183915265598113331e+00
3.029999999999999805e+00,1.202033482964260935e+00
3.040000000000000036e+00,1.220343663847268001e+00
3.049999999999999822e+00,1.238846602467192248e+00
3.060000000000000053e+00,1.257543065207506361e+00
3.069999999999999840e+00,1.276433864434416199e+00
3.080000000000000071e+00,1.295519822010423594e+00
3.089999999999999858e+00,1.314801730424817627e+00
3.099999999999999645e+00,1.334280442665736199e+00
3.109999999999999876e+00,1.353956782032230466e+00
3.119999999999999662e+00,1.373831593324943867e+00
3.129999999999999893e+00,1.393905730687824418e+00
3.139999999999999680e+00,1.414180056824596798e+00
3.149999999999999911e+00,1.434655443632276262e+00
3.159999999999999698e+00,1.455332786257900191e+00
3.169999999999999929e+00,1.476212945614592709e+00
3.179999999999999716e+00,1.497296849216483761e+00
3.189999999999999947e+00,1.518585389951646825e+00
3.199999999999999734e+00,1.540079468828436271e+00
3.209999999999999964e+00,1.561780041330151247e+00
3.219999999999999751e+00,1.583688026484806555e+00
3.229999999999999982e+00,1.605804366962059193e+00
3.239999999999999769e+00,1.628130030791435701e+00
3.250000000000000000e+00,1.650665946380417415e+00
3.259999999999999787e+00,1.673413099023116635e+00
3.270000000000000018e+00,1.696372483874812653e+00
3.279999999999999805e+00,1.719545054656091088e+00
3.290000000000000036e+00,1.742931841153066097e+00
3.299999999999999822e+00,1.766533831330265647e+00
3.310000000000000053e+00,1.790352038706722215e+00
3.319999999999999840e+00,1.814387485782757770e+00
3.330000000000000071e+00,1.838641203760173815e+00
3.339999999999999858e+00,1.863114232421010596e+00
3.349999999999999645e+00,1.887807620933693808e+00
3.359999999999999876e+00,1.912722445791884329e+00
3.369999999999999662e+00,1.937859735498687508e+00
3.379999999999999893e+00,1.963220603420451793e+00
3.389999999999999680e+00,1.988806094770951383e+00
3.399999999999999911e+00,2.014617341514494342e+00
3.409999999999999698e+00,2.040655425229689790e+00
3.419999999999999929e+00,2.066921456189564577e+00
3.429999999999999716e+00,2.093416552939746822e+00
