# q,S(q)
5.000000000000000000e-01,3.276768698563432142e-02
5.100000000000000089e-01,3.411841046843278047e-02
5.200000000000000178e-01,3.549797945874252902e-02
5.300000000000000266e-01,3.690672860881110545e-02
5.400000000000000355e-01,3.834435639310912469e-02
5.500000000000000444e-01,3.980982305731090021e-02
5.600000000000000533e-01,4.130525511058646265e-02
5.700000000000000622e-01,4.282973441530410486e-02
5.800000000000000711e-01,4.438338428674037245e-02
5.899999999999999689e-01,4.596642775274641796e-02
5.999999999999999778e-01,4.757901187999516446e-02
6.099999999999999867e-01,4.922151499076082848e-02
6.199999999999999956e-01,5.089392740194696035e-02
6.300000000000000044e-01,5.259644773303055049e-02
6.400000000000000133e-01,5.432880108395104352e-02
6.500000000000000222e-01,5.609086403841277713e-02
6.600000000000000311e-01,5.788414401300213952e-02
6.700000000000000400e-01,5.970770249329613449e-02
6.800000000000000488e-01,6.156203300032726117e-02
6.900000000000000577e-01,6.344701730632792969e-02
7.000000000000000666e-01,6.536310184783383770e-02
7.100000000000000755e-01,6.731058470907536062e-02
7.199999999999999734e-01,6.928926156405587622e-02
7.299999999999999822e-01,7.129936906238562577e-02
7.399999999999999911e-01,7.334160967222015659e-02
7.500000000000000000e-01,7.541530704615961866e-02
7.600000000000000089e-01,7.752124652018674289e-02
7.700000000000000178e-01,7.965924032611046424e-02
7.800000000000000266e-01,8.182968087728861861e-02
7.900000000000000355e-01,8.403328096825841975e-02
8.000000000000000444e-01,8.626935041540137461e-02
8.100000000000000533e-01,8.853844819702642865e-02
8.200000000000000622e-01,9.084111814437567656e-02
8.300000000000000711e-01,9.317698204501070891e-02
8.400000000000000799e-01,9.554676044564179571e-02
8.499999999999999778e-01,9.795060347810206902e-02
8.599999999999999867e-01,1.003883019436170448e-01
8.699999999999999956e-01,1.028606461331210004e-01
8.800000000000000044e-01,1.053677805619369079e-01
8.900000000000000133e-01,1.079095225089466425e-01
9.000000000000000222e-01,1.104867231932952637e-01
9.100000000000000311e-01,1.130993554603123147e-01
9.200000000000000400e-01,1.157476173719513973e-01
9.300000000000000488e-01,1.184321466193926226e-01
9.400000000000000577e-01,1.211516944247522931e-01
9.500000000000000666e-01,1.239082215789266278e-01
9.600000000000000755e-01,1.267017717398958021e-01
9.699999999999999734e-01,1.295322632490609749e-01
9.799999999999999822e-01,1.324001889621121142e-01
9.899999999999999911e-01,1.353056132866230499e-01
1.000000000000000000e+00,1.382489977294648065e-01
1.010000000000000009e+00,1.412439266929263471e-01
1.020000000000000018e+00,1.442510425297225674e-01
1.030000000000000027e+00,1.473097593104350511e-01
1.040000000000000036e+00,1.504075712914996199e-01
1.050000000000000044e+00,1.535470482186401808e-01
1.060000000000000053e+00,1.567222668633112548e-01
1.070000000000000062e+00,1.599395031357310482e-01
1.080000000000000071e+00,1.631972113253824241e-01
1.090000000000000080e+00,1.664957796873159090e-01
1.100000000000000089e+00,1.698358323438602657e-01
1.110000000000000098e+00,1.732166545094369070e-01
1.120000000000000107e+00,1.766403261628826660e-01
1.130000000000000115e+00,1.801051166414142923e-01
1.140000000000000124e+00,1.836125828350596012e-01
1.150000000000000133e+00,1.871633189734450142e-01
1.160000000000000142e+00,1.907573368309135597e-01
1.169999999999999929e+00,1.943948565373526671e-01
1.179999999999999938e+00,1.980764366249773423e-01
1.189999999999999947e+00,2.018022098946434251e-01
1.199999999999999956e+00,2.055732071560830987e-01
1.209999999999999964e+00,2.093892499097696203e-01
1.219999999999999973e+00,2.132507671001238336e-01
1.229999999999999982e+00,2.171584001219949989e-01
1.239999999999999991e+00,2.211129694703869719e-01
1.250000000000000000e+00,2.251128392238816167e-01
1.260000000000000009e+00,2.291607861566986870e-01
1.270000000000000018e+00,2.332567261641655676e-01
1.280000000000000027e+00,2.374002998149603860e-01
1.290000000000000036e+00,2.415921744262504167e-01
1.300000000000000044e+00,2.458332828102612333e-01
1.310000000000000053e+00,2.501231092229796449e-01
1.320000000000000062e+00,2.544631158503260493e-01
1.330000000000000071e+00,2.588529571714023314e-01
